Ship Mode,Segment,Country,City,State,Postal Code,Region,Category,Sub-Category,Sales,Quantity,Discount,Profit,implied_base_sales,cost,capped_sales,capped_profit,profit_delta
Standard Class,Home Office,United States,Dallas,Texas,75081,Central,Furniture,Tables,457.485,3,0.3,-84.9615,653.5500000000001,542.4465,522.84,-19.606499999999983,65.35500000000002
Standard Class,Consumer,United States,Dallas,Texas,75217,Central,Furniture,Tables,933.408,4,0.3,-173.3472,1333.44,1106.7552,1066.7520000000002,-40.00319999999988,133.3440000000001
Standard Class,Corporate,United States,Dallas,Texas,75217,Central,Office Supplies,Appliances,4.992,3,0.8,-12.9792,24.960000000000004,17.9712,19.968000000000004,1.996800000000004,14.976000000000004
Standard Class,Consumer,United States,Dallas,Texas,75220,Central,Office Supplies,Appliances,7.96,2,0.8,-13.93,39.80000000000001,21.89,31.84000000000001,9.95000000000001,23.88000000000001
First Class,Consumer,United States,Dallas,Texas,75220,Central,Office Supplies,Appliances,21.392,2,0.8,-54.5496,106.96000000000002,75.9416,85.56800000000003,9.626400000000032,64.17600000000003
Standard Class,Consumer,United States,Dallas,Texas,75220,Central,Office Supplies,Appliances,32.192,2,0.8,-80.48,160.96000000000004,112.672,128.76800000000003,16.096000000000032,96.57600000000004
Standard Class,Corporate,United States,Dallas,Texas,75220,Central,Office Supplies,Appliances,48.632,2,0.8,-121.58,243.16000000000005,170.212,194.52800000000005,24.31600000000006,145.89600000000007
Second Class,Consumer,United States,Dallas,Texas,75220,Central,Office Supplies,Appliances,66.284,2,0.8,-178.9668,331.42000000000013,245.25080000000003,265.13600000000014,19.88520000000011,198.85200000000012
Standard Class,Corporate,United States,Dallas,Texas,75217,Central,Office Supplies,Binders,1.044,1,0.8,-1.827,5.2200000000000015,2.871,4.176000000000001,1.305000000000001,3.132000000000001
Standard Class,Consumer,United States,Dallas,Texas,75220,Central,Office Supplies,Binders,1.08,3,0.8,-1.728,5.400000000000001,2.808,4.320000000000001,1.5120000000000013,3.240000000000001
Standard Class,Corporate,United States,Dallas,Texas,75220,Central,Office Supplies,Binders,1.362,1,0.8,-2.1792,6.810000000000002,3.5412,5.448000000000002,1.9068000000000023,4.086000000000002
Second Class,Consumer,United States,Dallas,Texas,75220,Central,Office Supplies,Binders,1.72,1,0.8,-2.838,8.600000000000001,4.558,6.880000000000002,2.322000000000002,5.160000000000002
Standard Class,Consumer,United States,Dallas,Texas,75217,Central,Office Supplies,Binders,1.788,3,0.8,-3.0396,8.940000000000001,4.8276,7.152000000000001,2.3244000000000007,5.364000000000001
Standard Class,Corporate,United States,Dallas,Texas,75081,Central,Office Supplies,Binders,1.964,2,0.8,-3.2406,9.820000000000002,5.2046,7.856000000000002,2.6514000000000015,5.892000000000001
Standard Class,Consumer,United States,Dallas,Texas,75081,Central,Office Supplies,Binders,3.168,3,0.8,-5.0688,15.840000000000003,8.2368,12.672000000000004,4.435200000000004,9.504000000000005
Standard Class,Home Office,United States,Dallas,Texas,75217,Central,Office Supplies,Binders,3.96,10,0.8,-6.93,19.800000000000004,10.89,15.840000000000003,4.950000000000003,11.880000000000003
Standard Class,Home Office,United States,Dallas,Texas,75081,Central,Office Supplies,Binders,5.792,2,0.8,-9.5568,28.960000000000004,15.3488,23.168000000000006,7.819200000000006,17.376000000000005
First Class,Corporate,United States,Dallas,Texas,75220,Central,Office Supplies,Binders,6.104,2,0.8,-9.156,30.520000000000007,15.260000000000002,24.416000000000007,9.156000000000006,18.312000000000005
Standard Class,Corporate,United States,Dallas,Texas,75220,Central,Office Supplies,Binders,6.316,1,0.8,-10.4214,31.580000000000005,16.7374,25.264000000000006,8.526600000000006,18.948000000000008
Standard Class,Consumer,United States,Dallas,Texas,75220,Central,Office Supplies,Binders,6.744,4,0.8,-11.4648,33.720000000000006,18.2088,26.976000000000006,8.767200000000006,20.232000000000006
Standard Class,Home Office,United States,Dallas,Texas,75081,Central,Office Supplies,Binders,6.888,3,0.8,-11.0208,34.440000000000005,17.9088,27.552000000000007,9.643200000000007,20.66400000000001
Standard Class,Home Office,United States,Dallas,Texas,75217,Central,Office Supplies,Binders,8.856,9,0.8,-14.1696,44.28000000000001,23.0256,35.42400000000001,12.398400000000006,26.568000000000005
First Class,Consumer,United States,Dallas,Texas,75081,Central,Office Supplies,Binders,10.024,4,0.8,-16.5396,50.120000000000005,26.5636,40.096000000000004,13.532400000000003,30.072000000000003
Standard Class,Corporate,United States,Dallas,Texas,75220,Central,Office Supplies,Binders,11.394,9,0.8,-17.6607,56.97000000000001,29.054699999999997,45.576000000000015,16.521300000000018,34.182000000000016
Standard Class,Corporate,United States,Dallas,Texas,75081,Central,Office Supplies,Binders,12.222,7,0.8,-20.1663,61.110000000000014,32.3883,48.88800000000001,16.49970000000001,36.66600000000001
First Class,Consumer,United States,Dallas,Texas,75081,Central,Office Supplies,Binders,13.14,9,0.8,-21.681,65.70000000000002,34.821,52.56000000000002,17.73900000000002,39.420000000000016
Standard Class,Consumer,United States,Dallas,Texas,75220,Central,Office Supplies,Binders,21.38,5,0.8,-33.139,106.90000000000002,54.519000000000005,85.52000000000002,31.00100000000002,64.14000000000001
Standard Class,Home Office,United States,Dallas,Texas,75081,Central,Office Supplies,Binders,30.56,5,0.8,-45.84,152.80000000000004,76.4,122.24000000000004,45.84000000000003,91.68000000000004
First Class,Consumer,United States,Dallas,Texas,75081,Central,Office Supplies,Binders,30.96,8,0.8,-52.632,154.80000000000004,83.592,123.84000000000003,40.24800000000003,92.88000000000002
Standard Class,Consumer,United States,Dallas,Texas,75081,Central,Office Supplies,Binders,39.582,9,0.8,-59.373,197.91000000000005,98.955,158.32800000000006,59.37300000000006,118.74600000000007
Standard Class,Consumer,United States,Dallas,Texas,75081,Central,Office Supplies,Binders,40.98,5,0.8,-65.568,204.90000000000003,106.548,163.92000000000004,57.37200000000004,122.94000000000004
Standard Class,Corporate,United States,Dallas,Texas,75217,Central,Office Supplies,Binders,760.98,5,0.8,-1141.47,3804.900000000001,1902.45,3043.920000000001,1141.470000000001,2282.940000000001
Standard Class,Corporate,United States,Dallas,Texas,75217,Central,Technology,Machines,479.988,2,0.4,55.9986,799.98,423.9894,639.984,215.99460000000005,159.99600000000004
First Class,Corporate,United States,Deer Park,Texas,77536,Central,Office Supplies,Binders,6.924,6,0.8,-10.386,34.62000000000001,17.31,27.696000000000012,10.386000000000013,20.772000000000013
First Class,Consumer,United States,Edinburg,Texas,78539,Central,Office Supplies,Binders,2.068,1,0.8,-3.4122,10.340000000000003,5.4802,8.272000000000004,2.791800000000004,6.204000000000004
Standard Class,Consumer,United States,El Paso,Texas,79907,Central,Furniture,Chairs,47.516,2,0.3,-2.0364,67.88,49.5524,54.304,4.751600000000003,6.788000000000004
Standard Class,Consumer,United States,El Paso,Texas,79907,Central,Furniture,Chairs,362.25,6,0.3,0.0,517.5,362.25,414.0,51.75,51.75
First Class,Consumer,United States,El Paso,Texas,79907,Central,Furniture,Chairs,763.28,5,0.3,-21.808,1090.4,785.088,872.3200000000002,87.2320000000002,109.04000000000019
Standard Class,Consumer,United States,El Paso,Texas,79907,Central,Furniture,Furnishings,63.552,6,0.6,-34.9536,158.88,98.5056,127.104,28.598399999999998,63.552
Second Class,Consumer,United States,El Paso,Texas,79907,Central,Furniture,Tables,913.43,5,0.3,-169.637,1304.9,1083.067,1043.92,-39.146999999999935,130.49000000000007
Second Class,Consumer,United States,El Paso,Texas,79907,Central,Office Supplies,Appliances,5.432,2,0.8,-13.58,27.160000000000007,19.012,21.72800000000001,2.716000000000008,16.296000000000006
Standard Class,Home Office,United States,El Paso,Texas,79907,Central,Office Supplies,Binders,4.428,3,0.8,-6.8634,22.140000000000004,11.2914,17.712000000000003,6.420600000000004,13.284000000000004
Standard Class,Corporate,United States,Fort Worth,Texas,76106,Central,Furniture,Bookcases,220.2656,4,0.32,-42.1096,323.92,262.3752,259.136,-3.2391999999999825,38.87040000000002
Standard Class,Corporate,United States,Fort Worth,Texas,76106,Central,Furniture,Bookcases,623.4648,7,0.32,-119.1918,916.86,742.6566,733.488,-9.16859999999997,110.02320000000003
Same Day,Consumer,United States,Fort Worth,Texas,76106,Central,Furniture,Chairs,388.43,5,0.3,-88.784,554.9000000000001,477.214,443.9200000000001,-33.293999999999926,55.49000000000008
First Class,Consumer,United States,Fort Worth,Texas,76106,Central,Furniture,Furnishings,1.988,1,0.6,-1.4413,4.97,3.4293,3.976,0.5467,1.988
Standard Class,Consumer,United States,Fort Worth,Texas,76106,Central,Furniture,Furnishings,66.112,4,0.6,-84.2928,165.27999999999997,150.4048,132.224,-18.180800000000005,66.112
Standard Class,Consumer,United States,Fort Worth,Texas,76106,Central,Office Supplies,Appliances,3.16,4,0.8,-8.532,15.800000000000004,11.692,12.640000000000004,0.948000000000004,9.480000000000004
Standard Class,Corporate,United States,Fort Worth,Texas,76106,Central,Office Supplies,Appliances,24.588,3,0.8,-67.617,122.94000000000003,92.20500000000001,98.35200000000003,6.14700000000002,73.76400000000002
Standard Class,Home Office,United States,Fort Worth,Texas,76106,Central,Office Supplies,Appliances,68.81,5,0.8,-123.858,344.05000000000007,192.668,275.24000000000007,82.57200000000006,206.43000000000006
Standard Class,Corporate,United States,Fort Worth,Texas,76106,Central,Office Supplies,Binders,1.696,2,0.8,-2.544,8.480000000000002,4.24,6.7840000000000025,2.5440000000000023,5.088000000000003
Standard Class,Home Office,United States,Fort Worth,Texas,76106,Central,Office Supplies,Binders,2.544,3,0.8,-3.816,12.720000000000002,6.359999999999999,10.176000000000002,3.8160000000000025,7.632000000000002
First Class,Consumer,United States,Fort Worth,Texas,76106,Central,Office Supplies,Binders,4.984,1,0.8,-8.4728,24.920000000000005,13.4568,19.936000000000007,6.479200000000008,14.952000000000007
Standard Class,Corporate,United States,Fort Worth,Texas,76106,Central,Office Supplies,Binders,7.98,5,0.8,-13.167,39.90000000000001,21.147,31.920000000000012,10.773000000000014,23.940000000000012
Standard Class,Corporate,United States,Fort Worth,Texas,76106,Central,Office Supplies,Binders,11.06,10,0.8,-18.802,55.30000000000001,29.862000000000002,44.24000000000001,14.378000000000007,33.18000000000001
Second Class,Consumer,United States,Frisco,Texas,75034,Central,Furniture,Furnishings,30.336,6,0.6,-17.4432,75.83999999999999,47.7792,60.672,12.892799999999994,30.335999999999995
First Class,Home Office,United States,Garland,Texas,75043,Central,Furniture,Furnishings,8.544,2,0.6,-7.476,21.36,16.02,17.088,1.0680000000000014,8.544
First Class,Consumer,United States,Garland,Texas,75043,Central,Office Supplies,Binders,18.336,4,0.8,-32.088,91.68,50.424,73.34400000000001,22.92000000000001,55.00800000000001
Standard Class,Consumer,United States,Grand Prairie,Texas,75051,Central,Furniture,Chairs,197.372,2,0.3,-25.3764,281.96000000000004,222.7484,225.56800000000004,2.8196000000000367,28.196000000000037
Standard Class,Consumer,United States,Grand Prairie,Texas,75051,Central,Furniture,Chairs,317.058,3,0.3,-18.1176,452.94,335.1756,362.35200000000003,27.176400000000058,45.294000000000054
Standard Class,Consumer,United States,Grand Prairie,Texas,75051,Central,Furniture,Furnishings,14.76,5,0.6,-11.439,36.9,26.198999999999998,29.52,3.3210000000000015,14.760000000000002
Standard Class,Corporate,United States,Grand Prairie,Texas,75051,Central,Furniture,Furnishings,38.08,5,0.6,-29.512,95.19999999999999,67.592,76.16,8.567999999999998,38.08
Standard Class,Consumer,United States,Grand Prairie,Texas,75051,Central,Office Supplies,Appliances,19.432,2,0.8,-49.5516,97.16000000000001,68.9836,77.72800000000001,8.744400000000013,58.296000000000014
Standard Class,Consumer,United States,Grand Prairie,Texas,75051,Central,Office Supplies,Binders,3.656,4,0.8,-5.8496,18.280000000000005,9.5056,14.624000000000004,5.118400000000005,10.968000000000004
First Class,Consumer,United States,Harlingen,Texas,78550,Central,Furniture,Bookcases,241.332,5,0.32,-14.196,354.90000000000003,255.528,283.92,28.392000000000024,42.58800000000002
Standard Class,Corporate,United States,Houston,Texas,77036,Central,Furniture,Bookcases,67.9932,1,0.32,-12.9987,99.99000000000001,80.9919,79.99200000000002,-0.9998999999999825,11.998800000000017
First Class,Home Office,United States,Houston,Texas,77041,Central,Furniture,Bookcases,89.0664,1,0.32,-17.0274,130.98000000000002,106.0938,104.78400000000002,-1.3097999999999814,15.717600000000019
Standard Class,Home Office,United States,Houston,Texas,77041,Central,Furniture,Bookcases,300.5328,2,0.32,-97.2312,441.96000000000004,397.764,353.56800000000004,-44.19599999999997,53.03520000000003
Standard Class,Corporate,United States,Houston,Texas,77095,Central,Furniture,Bookcases,369.1992,3,0.32,-114.0174,542.94,483.2166,434.3520000000001,-48.86459999999994,65.15280000000006
First Class,Home Office,United States,Houston,Texas,77041,Central,Furniture,Bookcases,383.4656,4,0.32,-67.6704,563.9200000000001,451.13599999999997,451.1360000000001,1.1368683772161603e-13,67.67040000000011
Standard Class,Home Office,United States,Houston,Texas,77041,Central,Furniture,Bookcases,532.3992,3,0.32,-46.9764,782.94,579.3756,626.3520000000001,46.976400000000126,93.95280000000012
Standard Class,Consumer,United States,Houston,Texas,77041,Central,Furniture,Bookcases,613.9992,3,0.32,-18.0588,902.94,632.058,722.3520000000001,90.2940000000001,108.3528000000001
Second Class,Corporate,United States,Houston,Texas,77036,Central,Furniture,Bookcases,781.864,10,0.32,-137.976,1149.8000000000002,919.84,919.8400000000001,1.1368683772161603e-13,137.9760000000001
Standard Class,Consumer,United States,Houston,Texas,77036,Central,Furniture,Bookcases,956.6648,7,0.32,-225.0976,1406.8600000000001,1181.7624,1125.488,-56.274400000000014,168.82319999999999
Standard Class,Consumer,United States,Houston,Texas,77070,Central,Furniture,Bookcases,1023.332,5,0.32,-30.098,1504.9,1053.43,1203.92,150.49,180.58800000000002
First Class,Corporate,United States,Houston,Texas,77070,Central,Furniture,Bookcases,1227.9984,6,0.32,-36.1176,1805.88,1264.116,1444.7040000000002,180.5880000000002,216.7056000000002
Second Class,Consumer,United States,Houston,Texas,77036,Central,Furniture,Bookcases,2396.2656,4,0.32,-317.1528,3523.9200000000005,2713.4184,2819.1360000000004,105.7176000000004,422.8704000000004
Second Class,Consumer,United States,Houston,Texas,77095,Central,Furniture,Chairs,56.686,1,0.3,-14.5764,80.98,71.2624,64.784,-6.4783999999999935,8.098000000000006
Standard Class,Home Office,United States,Houston,Texas,77095,Central,Furniture,Chairs,74.592,4,0.3,-2.1312,106.56,76.7232,85.248,8.524799999999999,10.655999999999999
Second Class,Consumer,United States,Houston,Texas,77070,Central,Furniture,Chairs,85.246,2,0.3,-6.089,121.78,91.335,97.424,6.089000000000013,12.178000000000013
Standard Class,Consumer,United States,Houston,Texas,77041,Central,Furniture,Chairs,95.984,4,0.3,-4.1136,137.12,100.0976,109.69600000000001,9.598400000000012,13.712000000000012
Second Class,Consumer,United States,Houston,Texas,77070,Central,Furniture,Chairs,107.772,2,0.3,-29.2524,153.96,137.0244,123.168,-13.856400000000008,15.395999999999994
Standard Class,Consumer,United States,Houston,Texas,77095,Central,Furniture,Chairs,107.772,2,0.3,-29.2524,153.96,137.0244,123.168,-13.856400000000008,15.395999999999994
Second Class,Corporate,United States,Houston,Texas,77095,Central,Furniture,Chairs,155.372,2,0.3,-35.5136,221.96000000000004,190.8856,177.56800000000004,-13.31759999999997,22.196000000000026
First Class,Consumer,United States,Houston,Texas,77095,Central,Furniture,Chairs,191.058,3,0.3,-46.3998,272.94,237.4578,218.352,-19.105799999999988,27.29400000000001
Standard Class,Consumer,United States,Houston,Texas,77070,Central,Furniture,Chairs,211.246,2,0.3,-66.3916,301.78000000000003,277.6376,241.42400000000004,-36.213599999999985,30.17800000000001
Standard Class,Home Office,United States,Houston,Texas,77041,Central,Furniture,Chairs,212.058,3,0.3,-15.147,302.94,227.20499999999998,242.352,15.14700000000002,30.29400000000002
Standard Class,Corporate,United States,Houston,Texas,77036,Central,Furniture,Chairs,241.5,4,0.3,0.0,345.0,241.5,276.0,34.5,34.5
Standard Class,Home Office,United States,Houston,Texas,77070,Central,Furniture,Chairs,275.058,3,0.3,-90.3762,392.94,365.4342,314.35200000000003,-51.08219999999994,39.294000000000054
Standard Class,Consumer,United States,Houston,Texas,77095,Central,Furniture,Chairs,317.058,3,0.3,-18.1176,452.94,335.1756,362.35200000000003,27.176400000000058,45.294000000000054
Second Class,Home Office,United States,Houston,Texas,77036,Central,Furniture,Chairs,318.43,5,0.3,-77.333,454.90000000000003,395.76300000000003,363.9200000000001,-31.84299999999996,45.49000000000004
Standard Class,Corporate,United States,Houston,Texas,77095,Central,Furniture,Chairs,318.43,5,0.3,-77.333,454.90000000000003,395.76300000000003,363.9200000000001,-31.84299999999996,45.49000000000004
Standard Class,Corporate,United States,Houston,Texas,77070,Central,Furniture,Chairs,344.372,4,0.3,-93.4724,491.96000000000004,437.8444,393.56800000000004,-44.27639999999997,49.196000000000026
Second Class,Home Office,United States,Houston,Texas,77070,Central,Furniture,Chairs,379.372,2,0.3,-119.2312,541.96,498.6032,433.56800000000004,-65.03519999999997,54.196000000000026
Standard Class,Consumer,United States,Houston,Texas,77036,Central,Furniture,Chairs,408.422,2,0.3,-5.8346,583.46,414.25660000000005,466.76800000000003,52.51139999999998,58.34599999999998
Standard Class,Corporate,United States,Houston,Texas,77041,Central,Furniture,Chairs,454.965,5,0.3,-136.4895,649.95,591.4544999999999,519.96,-71.4944999999999,64.99500000000009
Second Class,Home Office,United States,Houston,Texas,77041,Central,Furniture,Chairs,600.558,3,0.3,-8.5794,857.94,609.1374,686.3520000000001,77.21460000000013,85.79400000000012
Standard Class,Consumer,United States,Houston,Texas,77070,Central,Furniture,Chairs,600.558,3,0.3,-8.5794,857.94,609.1374,686.3520000000001,77.21460000000013,85.79400000000012
Second Class,Corporate,United States,Houston,Texas,77070,Central,Furniture,Chairs,674.058,3,0.3,-19.2588,962.94,693.3168,770.3520000000001,77.03520000000015,96.29400000000015
Standard Class,Consumer,United States,Houston,Texas,77070,Central,Furniture,Chairs,683.144,4,0.3,0.0,975.9200000000001,683.144,780.7360000000001,97.5920000000001,97.5920000000001
Standard Class,Consumer,United States,Houston,Texas,77070,Central,Furniture,Chairs,853.93,5,0.3,-24.398,1219.9,878.328,975.9200000000001,97.5920000000001,121.9900000000001
First Class,Consumer,United States,Houston,Texas,77041,Central,Furniture,Chairs,899.43,5,0.3,-12.849,1284.9,912.279,1027.92,115.64100000000008,128.49000000000007
Standard Class,Consumer,United States,Houston,Texas,77036,Central,Furniture,Chairs,966.7,5,0.3,-13.81,1381.0000000000002,980.51,1104.8000000000002,124.29000000000019,138.1000000000002
Standard Class,Consumer,United States,Houston,Texas,77041,Central,Furniture,Furnishings,2.328,2,0.6,-0.7566,5.819999999999999,3.0846,4.656,1.5713999999999997,2.328
Second Class,Corporate,United States,Houston,Texas,77041,Central,Furniture,Furnishings,2.328,2,0.6,-0.7566,5.819999999999999,3.0846,4.656,1.5713999999999997,2.328
Standard Class,Consumer,United States,Houston,Texas,77070,Central,Furniture,Furnishings,3.984,2,0.6,-2.6892,9.959999999999999,6.6732,7.968,1.2948000000000004,3.9840000000000004
First Class,Corporate,United States,Houston,Texas,77041,Central,Furniture,Furnishings,4.928,4,0.6,-1.4784,12.319999999999999,6.4064,9.856,3.4496,4.928
Second Class,Consumer,United States,Houston,Texas,77095,Central,Furniture,Furnishings,5.312,2,0.6,-1.5936,13.28,6.9056,10.624,3.718400000000001,5.312000000000001
Second Class,Home Office,United States,Houston,Texas,77070,Central,Furniture,Furnishings,5.344,4,0.6,-2.1376,13.36,7.4816,10.688,3.2064000000000004,5.344
Same Day,Consumer,United States,Houston,Texas,77036,Central,Furniture,Furnishings,6.688,4,0.6,-4.0128,16.72,10.700800000000001,13.376,2.6751999999999985,6.687999999999999
Second Class,Home Office,United States,Houston,Texas,77070,Central,Furniture,Furnishings,6.984,2,0.6,-4.5396,17.459999999999997,11.5236,13.967999999999998,2.444399999999998,6.983999999999998
Standard Class,Corporate,United States,Houston,Texas,77095,Central,Furniture,Furnishings,7.068,3,0.6,-2.8272,17.669999999999998,9.895199999999999,14.136,4.2408,7.068
Same Day,Consumer,United States,Houston,Texas,77041,Central,Furniture,Furnishings,7.88,5,0.6,-3.94,19.7,11.82,15.76,3.9399999999999995,7.879999999999999
Second Class,Consumer,United States,Houston,Texas,77036,Central,Furniture,Furnishings,8.752,4,0.6,-3.7196,21.88,12.4716,17.504,5.032400000000001,8.752
Second Class,Home Office,United States,Houston,Texas,77070,Central,Furniture,Furnishings,9.552,3,0.6,-3.8208,23.88,13.3728,19.104,5.731199999999999,9.552
Second Class,Corporate,United States,Houston,Texas,77036,Central,Furniture,Furnishings,9.552,3,0.6,-3.8208,23.88,13.3728,19.104,5.731199999999999,9.552
First Class,Corporate,United States,Houston,Texas,77041,Central,Furniture,Furnishings,9.708,3,0.6,-5.8248,24.27,15.5328,19.416,3.8832000000000004,9.708
Standard Class,Consumer,United States,Houston,Texas,77041,Central,Furniture,Furnishings,11.376,3,0.6,-5.688,28.439999999999998,17.064,22.752,5.687999999999999,11.375999999999998
Standard Class,Consumer,United States,Houston,Texas,77041,Central,Furniture,Furnishings,13.592,2,0.6,-14.2716,33.98,27.863599999999998,27.183999999999997,-0.6796000000000006,13.591999999999999
Standard Class,Consumer,United States,Houston,Texas,77070,Central,Furniture,Furnishings,16.192,2,0.6,-6.8816,40.48,23.0736,32.384,9.310400000000001,16.192
Standard Class,Home Office,United States,Houston,Texas,77095,Central,Furniture,Furnishings,16.784,2,0.6,-22.2388,41.959999999999994,39.022800000000004,33.568,-5.454800000000006,16.783999999999995
Second Class,Consumer,United States,Houston,Texas,77070,Central,Furniture,Furnishings,19.3,5,0.6,-14.475,48.25,33.775,38.6,4.825000000000003,19.300000000000004
Same Day,Consumer,United States,Houston,Texas,77041,Central,Furniture,Furnishings,20.104,2,0.6,-16.5858,50.26,36.6898,40.208,3.5182,20.104
First Class,Corporate,United States,Houston,Texas,77036,Central,Furniture,Furnishings,21.204,3,0.6,-11.6622,53.01,32.8662,42.408,9.541800000000002,21.204
Standard Class,Corporate,United States,Houston,Texas,77041,Central,Furniture,Furnishings,21.936,2,0.6,-10.4196,54.839999999999996,32.3556,43.872,11.516399999999997,21.936
Standard Class,Consumer,United States,Houston,Texas,77041,Central,Furniture,Furnishings,21.968,4,0.6,-15.9268,54.919999999999995,37.894800000000004,43.936,6.041199999999996,21.967999999999996
Standard Class,Corporate,United States,Houston,Texas,77095,Central,Furniture,Furnishings,22.38,3,0.6,-7.833,55.949999999999996,30.213,44.76,14.546999999999997,22.379999999999995
Second Class,Consumer,United States,Houston,Texas,77095,Central,Furniture,Furnishings,23.976,3,0.6,-14.3856,59.94,38.361599999999996,47.952,9.590400000000002,23.976000000000003
Second Class,Consumer,United States,Houston,Texas,77070,Central,Furniture,Furnishings,32.712,2,0.6,-26.1696,81.78,58.881600000000006,65.424,6.542400000000001,32.712
Standard Class,Corporate,United States,Houston,Texas,77070,Central,Furniture,Furnishings,51.712,8,0.6,-32.32,129.28,84.03200000000001,103.424,19.391999999999996,51.711999999999996
Standard Class,Consumer,United States,Houston,Texas,77041,Central,Furniture,Furnishings,64.96,5,0.6,-84.448,162.39999999999998,149.408,129.92,-19.488,64.96
Standard Class,Consumer,United States,Houston,Texas,77095,Central,Furniture,Furnishings,65.424,4,0.6,-52.3392,163.56,117.76320000000001,130.848,13.084800000000001,65.424
Standard Class,Consumer,United States,Houston,Texas,77041,Central,Furniture,Furnishings,66.112,4,0.6,-84.2928,165.27999999999997,150.4048,132.224,-18.180800000000005,66.112
Standard Class,Corporate,United States,Houston,Texas,77041,Central,Furniture,Furnishings,73.784,2,0.6,-77.4732,184.46,151.2572,147.568,-3.6891999999999996,73.784
First Class,Consumer,United States,Houston,Texas,77041,Central,Furniture,Furnishings,75.384,9,0.6,-20.7306,188.45999999999998,96.1146,150.768,54.653400000000005,75.384
Second Class,Home Office,United States,Houston,Texas,77095,Central,Furniture,Furnishings,103.5,5,0.6,-77.625,258.75,181.125,207.0,25.875,103.5
Standard Class,Corporate,United States,Houston,Texas,77070,Central,Furniture,Furnishings,127.88,5,0.6,-67.137,319.7,195.017,255.76,60.742999999999995,127.88
Standard Class,Corporate,United States,Houston,Texas,77036,Central,Furniture,Tables,99.372,2,0.3,-1.4196,141.96,100.7916,113.56800000000001,12.77640000000001,14.196000000000009
First Class,Home Office,United States,Houston,Texas,77036,Central,Furniture,Tables,200.795,1,0.3,-22.948,286.85,223.743,229.48000000000002,5.737000000000023,28.685000000000024
Second Class,Consumer,United States,Houston,Texas,77095,Central,Furniture,Tables,300.93,5,0.3,-34.392,429.90000000000003,335.322,343.9200000000001,8.59800000000007,42.99000000000007
Standard Class,Corporate,United States,Houston,Texas,77041,Central,Furniture,Tables,347.361,7,0.3,-69.4722,496.23,416.8332,396.98400000000004,-19.84919999999994,49.62300000000006
Standard Class,Consumer,United States,Houston,Texas,77036,Central,Furniture,Tables,376.509,3,0.3,-43.0296,537.87,419.53860000000003,430.29600000000005,10.757400000000018,53.78700000000002
Second Class,Consumer,United States,Houston,Texas,77070,Central,Furniture,Tables,401.59,2,0.3,-131.951,573.7,533.5409999999999,458.96000000000004,-74.5809999999999,57.37000000000009
Standard Class,Consumer,United States,Houston,Texas,77070,Central,Furniture,Tables,512.19,5,0.3,-65.853,731.7000000000002,578.043,585.3600000000001,7.317000000000121,73.17000000000012
Second Class,Consumer,United States,Houston,Texas,77070,Central,Furniture,Tables,744.1,5,0.3,-95.67,1063.0,839.77,850.4000000000001,10.63000000000011,106.30000000000011
Standard Class,Consumer,United States,Houston,Texas,77036,Central,Furniture,Tables,863.128,8,0.3,-160.2952,1233.0400000000002,1023.4232000000001,986.4320000000002,-36.99119999999982,123.30400000000017
Standard Class,Consumer,United States,Houston,Texas,77095,Central,Office Supplies,Appliances,0.444,1,0.8,-1.11,2.2200000000000006,1.554,1.7760000000000007,0.22200000000000064,1.3320000000000007
Standard Class,Consumer,United States,Houston,Texas,77070,Central,Office Supplies,Appliances,1.556,2,0.8,-4.2012,7.780000000000002,5.7572,6.224000000000002,0.4668000000000019,4.668000000000002
Standard Class,Consumer,United States,Houston,Texas,77095,Central,Office Supplies,Appliances,2.264,1,0.8,-5.2072,11.320000000000002,7.4712,9.056000000000003,1.584800000000003,6.792000000000003
Standard Class,Consumer,United States,Houston,Texas,77095,Central,Office Supplies,Appliances,8.652,3,0.8,-20.3322,43.260000000000005,28.9842,34.608000000000004,5.623800000000003,25.956000000000003
Standard Class,Corporate,United States,Houston,Texas,77095,Central,Office Supplies,Appliances,8.712,2,0.8,-19.602,43.56000000000001,28.314,34.848000000000006,6.534000000000006,26.136000000000006
Second Class,Home Office,United States,Houston,Texas,77095,Central,Office Supplies,Appliances,9.324,6,0.8,-24.7086,46.62000000000001,34.0326,37.296000000000014,3.2634000000000114,27.972000000000012
Standard Class,Consumer,United States,Houston,Texas,77070,Central,Office Supplies,Appliances,12.992,2,0.8,-32.48,64.96000000000002,45.471999999999994,51.96800000000002,6.4960000000000235,38.97600000000002
Second Class,Corporate,United States,Houston,Texas,77041,Central,Office Supplies,Appliances,15.224,2,0.8,-38.8212,76.12000000000002,54.045199999999994,60.896000000000015,6.850800000000021,45.67200000000002
Standard Class,Consumer,United States,Houston,Texas,77095,Central,Office Supplies,Appliances,18.32,5,0.8,-46.716,91.60000000000002,65.036,73.28000000000002,8.244000000000014,54.960000000000015
Second Class,Corporate,United States,Houston,Texas,77041,Central,Office Supplies,Appliances,21.984,6,0.8,-56.0592,109.92000000000003,78.0432,87.93600000000004,9.892800000000037,65.95200000000003
Same Day,Consumer,United States,Houston,Texas,77070,Central,Office Supplies,Appliances,32.784,4,0.8,-85.2384,163.92000000000004,118.0224,131.13600000000005,13.113600000000048,98.35200000000005
